epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,15604.2,1.91222,1.52874,1.37344,0.64831,0.50418,0.53919,0.21931,2.03799,1.81388,1.34139,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,15915.1,1.91468,1.53198,1.36993,0.644,0.50852,0.53581,0.21272,2.03607,1.78428,1.33899,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,16224.8,1.90604,1.50395,1.36075,0.64488,0.52216,0.54456,0.21624,2.04249,1.78577,1.35026,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,309.207,1.87538,1.46937,1.34813,0.6421,0.5265,0.55317,0.22317,2.02744,1.76757,1.34855,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,618.508,1.87593,1.48925,1.34301,0.63876,0.53269,0.55041,0.22551,2.03784,1.79731,1.36655,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,927.416,1.8607,1.44986,1.33446,0.64542,0.53473,0.56101,0.2275,2.03394,1.80822,1.36701,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,1237.65,1.86135,1.458,1.33686,0.66923,0.5273,0.56467,0.22887,2.03707,1.83534,1.36646,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,1547.71,1.84765,1.4485,1.33176,0.65268,0.54041,0.56202,0.23237,2.03026,1.84426,1.36257,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,1857.27,1.85106,1.44148,1.32911,0.64399,0.555,0.56623,0.23472,2.02572,1.81893,1.36779,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,2167.03,1.8262,1.42151,1.32805,0.65812,0.54695,0.56913,0.23976,2.02525,1.78528,1.3721,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,2476.92,1.8378,1.41268,1.31842,0.67342,0.54509,0.57367,0.24111,2.02491,1.78127,1.3708,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,2786.12,1.80903,1.38384,1.30518,0.6865,0.54899,0.57803,0.24338,2.02519,1.81104,1.36129,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,3095.39,1.79922,1.37701,1.31152,0.69551,0.55129,0.58501,0.2461,2.02319,1.79122,1.36815,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,3405.06,1.79567,1.37914,1.30667,0.68638,0.56359,0.59358,0.24841,2.02116,1.76375,1.36361,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,3714.2,1.79662,1.34864,1.29661,0.68379,0.57027,0.59602,0.25227,2.01282,1.75052,1.35647,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,4022.74,1.76628,1.33003,1.28747,0.68428,0.56244,0.59292,0.25282,2.0084,1.72992,1.3556,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,4332.31,1.76735,1.34264,1.28728,0.67865,0.55965,0.59193,0.25401,2.00486,1.72123,1.35745,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,4641.99,1.736,1.30319,1.27052,0.69089,0.55222,0.59342,0.2544,2.00146,1.7479,1.34851,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,4951.04,1.74688,1.30462,1.27562,0.68373,0.55346,0.59146,0.25427,1.99618,1.73741,1.34665,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,5261.05,1.74168,1.30245,1.26848,0.69581,0.55284,0.59194,0.25615,1.99122,1.74413,1.34289,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,5571.05,1.72964,1.28357,1.26484,0.69838,0.55655,0.5962,0.26026,1.99356,1.74348,1.34521,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,5880.61,1.73314,1.27798,1.26029,0.70381,0.56109,0.60207,0.26444,1.99718,1.73887,1.34685,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,6189.74,1.71767,1.25791,1.25307,0.70532,0.56151,0.60402,0.26464,1.99816,1.74322,1.3466,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,6499.4,1.69888,1.24871,1.25857,0.71362,0.56526,0.60776,0.26454,1.99769,1.74602,1.34801,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
