epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
54,640.297,1.59395,1.14299,1.23603,0.65826,0.54496,0.5506,0.23501,2.03315,1.74926,1.42141,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,959.221,1.58214,1.12246,1.22973,0.65844,0.53585,0.54673,0.23515,2.02919,1.81197,1.41968,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,1279.5,1.61955,1.16675,1.24764,0.67758,0.53857,0.54515,0.23455,2.02606,1.76486,1.41722,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,1600.33,1.61998,1.18378,1.25159,0.66051,0.52742,0.5408,0.23573,2.0218,1.77261,1.42663,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,1920.47,1.68003,1.23801,1.27233,0.683,0.53147,0.56139,0.2427,2.02115,1.73836,1.42403,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,2240.53,1.7352,1.28898,1.30599,0.65504,0.54725,0.55681,0.24283,2.01491,1.72901,1.41717,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,2559.53,1.73542,1.28722,1.29889,0.65275,0.54757,0.55606,0.24441,2.02384,1.73038,1.42049,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,3166.19,1.60083,1.14427,1.24889,0.65313,0.54788,0.55646,0.24412,2.02413,1.72992,1.42117,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,3485.55,1.66489,1.22445,1.27567,0.67129,0.55222,0.56794,0.24593,2.02284,1.71126,1.42154,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,319.642,1.42694,0.9761,1.16327,0.67924,0.55188,0.56847,0.24655,2.02954,1.69708,1.43791,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
